domain_a,domain_b,lateness_mean_days,mean_recovery_days,n_hazards_observed,n_recoveries,otif,pair,saturation,seed,status,wip_mean,wip_p95,yield_pct
demande,demande,4.867361111111111,1.0,8,2,1.0,demande|demande,0.96,42,ok,11.266666666666667,17.0,0.9506317267197005
demande,demande,4.167361111111112,1.6666666666666667,8,3,1.0,demande|demande,0.96,43,ok,11.266666666666667,16.0,0.949850471589602
demande,demande,5.167361111111111,1.25,8,4,1.0,demande|demande,0.96,44,ok,13.733333333333333,17.0,0.9499301350721937
demande,demande,5.067361111111111,1.5,8,2,1.0,demande|demande,0.96,45,ok,14.133333333333333,18.0,0.9495423609481343
demande,demande,5.267361111111112,3.0,8,3,1.0,demande|demande,0.96,46,ok,11.666666666666666,17.0,0.9497568881685575
demande,demande,8.000694444444443,1.0,8,1,1.0,demande|demande,0.96,47,ok,13.866666666666667,17.0,0.9501507071643868
demande,demande,7.167361111111111,1.4,8,5,1.0,demande|demande,0.96,48,ok,15.2,19.0,0.949556282111163
demande,demande,5.067361111111111,4.25,8,4,1.0,demande|demande,0.96,49,ok,15.466666666666667,20.0,0.9500232450023245
demande,demande,9.334027777777777,2.6666666666666665,8,6,1.0,demande|demande,0.96,50,ok,14.2,18.0,0.9497323714219222
demande,demande,4.834027777777778,2.5,8,4,1.0,demande|demande,0.96,51,ok,15.2,19.0,0.9499884232461218
demande,demande,5.167361111111112,1.0,8,2,1.0,demande|demande,0.96,52,ok,12.466666666666667,16.0,0.9503710575139147
demande,demande,7.417361111111111,2.25,8,4,1.0,demande|demande,0.96,53,ok,15.533333333333333,19.0,0.9496251171508904
demande,demande,6.417361111111111,1.5,8,4,1.0,demande|demande,0.96,54,ok,14.4,17.0,0.949814126394052
demande,demande,4.000694444444445,2.6666666666666665,8,3,1.0,demande|demande,0.96,55,ok,11.8,17.0,0.9499425947187141
demande,demande,4.667361111111112,2.0,8,5,1.0,demande|demande,0.96,56,ok,13.866666666666667,17.0,0.9500699953336444
demande,demande,5.000694444444445,2.25,8,4,1.0,demande|demande,0.96,57,ok,14.866666666666667,19.0,0.9497917630726516
demande,demande,4.9530753968253975,5.25,8,4,1.0,demande|demande,0.96,58,ok,14.333333333333334,19.0,0.9496070272769301
demande,demande,5.867361111111111,3.5,8,4,1.0,demande|demande,0.96,59,ok,12.066666666666666,17.0,0.9496052020436601
demande,demande,4.524503968253969,3.8,8,5,1.0,demande|demande,0.96,60,ok,15.6,20.0,0.9496015002344116
