doctrine,domain_a,domain_b,lateness_mean_days,mean_recovery_days,n_hazards_observed,n_recoveries,otif,pair,seed,status,wip_mean,wip_p95,yield_pct
event_bce,demande,demande,4.867361111111111,1.0,8,2,1.0,demande|demande,42,ok,11.266666666666667,17.0,0.950322426558395
event,demande,demande,4.867361111111111,1.0,8,2,1.0,demande|demande,42,ok,11.266666666666667,17.0,0.950322426558395
event_bce,demande,demande,4.167361111111112,1.6666666666666667,8,3,1.0,demande|demande,43,ok,11.266666666666667,16.0,0.9495305164319249
event,demande,demande,4.167361111111112,1.6666666666666667,8,3,1.0,demande|demande,43,ok,11.266666666666667,16.0,0.9495305164319249
event_bce,demande,demande,5.167361111111111,1.25,8,4,1.0,demande|demande,44,ok,13.733333333333333,17.0,0.9496077965295935
event,demande,demande,5.167361111111111,1.25,8,4,1.0,demande|demande,44,ok,13.733333333333333,17.0,0.9496077965295935
event_bce,demande,demande,5.067361111111111,1.5,8,2,1.0,demande|demande,45,ok,14.133333333333333,18.0,0.949209391471011
event,demande,demande,5.067361111111111,1.5,8,2,1.0,demande|demande,45,ok,14.133333333333333,18.0,0.949209391471011
event_bce,demande,demande,5.267361111111112,3.0,8,3,1.0,demande|demande,46,ok,11.666666666666666,17.0,0.9494328922495274
event,demande,demande,5.267361111111112,3.0,8,3,1.0,demande|demande,46,ok,11.666666666666666,17.0,0.9494328922495274
event_bce,demande,demande,8.000694444444443,1.0,8,1,1.0,demande|demande,47,ok,13.866666666666667,17.0,0.9498343587316611
event,demande,demande,8.000694444444443,1.0,8,1,1.0,demande|demande,47,ok,13.866666666666667,17.0,0.9498343587316611
event_bce,demande,demande,7.167361111111111,1.4,8,5,1.0,demande|demande,48,ok,15.2,19.0,0.9492252681764005
event,demande,demande,7.167361111111111,1.4,8,5,1.0,demande|demande,48,ok,15.2,19.0,0.9492252681764005
event_bce,demande,demande,5.067361111111111,4.25,8,4,1.0,demande|demande,49,ok,15.466666666666667,20.0,0.9497034400948992
event,demande,demande,5.067361111111111,4.25,8,4,1.0,demande|demande,49,ok,15.466666666666667,20.0,0.9497034400948992
event_bce,demande,demande,9.334027777777777,2.6666666666666665,8,6,1.0,demande|demande,50,ok,14.2,18.0,0.9494061757719715
event,demande,demande,9.334027777777777,2.6666666666666665,8,6,1.0,demande|demande,50,ok,14.2,18.0,0.9494061757719715
event_bce,demande,demande,4.834027777777778,2.5,8,4,1.0,demande|demande,51,ok,15.2,19.0,0.9496691871455577
event,demande,demande,4.834027777777778,2.5,8,4,1.0,demande|demande,51,ok,15.2,19.0,0.9496691871455577
event_bce,demande,demande,5.167361111111112,1.0,8,2,1.0,demande|demande,52,ok,12.466666666666667,16.0,0.9500591715976331
event,demande,demande,5.167361111111112,1.0,8,2,1.0,demande|demande,52,ok,12.466666666666667,16.0,0.9500591715976331
event_bce,demande,demande,7.417361111111111,2.25,8,4,1.0,demande|demande,53,ok,15.533333333333333,19.0,0.9492944271705334
event,demande,demande,7.417361111111111,2.25,8,4,1.0,demande|demande,53,ok,15.533333333333333,19.0,0.9492944271705334
event_bce,demande,demande,6.417361111111111,1.5,8,4,1.0,demande|demande,54,ok,14.4,17.0,0.9494901588807209
event,demande,demande,6.417361111111111,1.5,8,4,1.0,demande|demande,54,ok,14.4,17.0,0.9494901588807209
event_bce,demande,demande,4.000694444444445,2.6666666666666665,8,3,1.0,demande|demande,55,ok,11.8,17.0,0.9496251171508904
event,demande,demande,4.000694444444445,2.6666666666666665,8,3,1.0,demande|demande,55,ok,11.8,17.0,0.9496251171508904
event_bce,demande,demande,4.667361111111112,2.0,8,5,1.0,demande|demande,56,ok,13.866666666666667,17.0,0.9497499404620148
event,demande,demande,4.667361111111112,2.0,8,5,1.0,demande|demande,56,ok,13.866666666666667,17.0,0.9497499404620148
event_bce,demande,demande,5.000694444444445,2.25,8,4,1.0,demande|demande,57,ok,14.866666666666667,19.0,0.9494687131050767
event,demande,demande,5.000694444444445,2.25,8,4,1.0,demande|demande,57,ok,14.866666666666667,19.0,0.9494687131050767
event_bce,demande,demande,4.9530753968253975,5.25,8,4,1.0,demande|demande,58,ok,14.333333333333334,19.0,0.9492804906817646
event,demande,demande,4.9530753968253975,5.25,8,4,1.0,demande|demande,58,ok,14.333333333333334,19.0,0.9492804906817646
event_bce,demande,demande,5.867361111111111,3.5,8,4,1.0,demande|demande,59,ok,12.066666666666666,17.0,0.949277079876748
event,demande,demande,5.867361111111111,3.5,8,4,1.0,demande|demande,59,ok,12.066666666666666,17.0,0.949277079876748
event_bce,demande,demande,4.524503968253969,3.8,8,5,1.0,demande|demande,60,ok,15.6,20.0,0.9492701603254368
event,demande,demande,4.524503968253969,3.8,8,5,1.0,demande|demande,60,ok,15.6,20.0,0.9492701603254368
event_bce,demande,demande,8.000694444444443,1.3333333333333333,8,3,1.0,demande|demande,61,ok,13.4,17.0,0.9497607655502392
event,demande,demande,8.000694444444443,1.3333333333333333,8,3,1.0,demande|demande,61,ok,13.4,17.0,0.9497607655502392
event_bce,demande,approvisionnement,6.667361111111111,1.0,8,2,1.0,demande|approvisionnement,42,ok,6.066666666666666,9.0,0.9504191616766468
event,demande,approvisionnement,6.667361111111111,1.0,8,2,1.0,demande|approvisionnement,42,ok,6.066666666666666,9.0,0.9504191616766468
event_bce,demande,approvisionnement,3.667361111111111,1.5,8,4,1.0,demande|approvisionnement,43,ok,6.866666666666666,9.0,0.9495456719273075
event,demande,approvisionnement,3.667361111111111,1.5,8,4,1.0,demande|approvisionnement,43,ok,6.866666666666666,9.0,0.9495456719273075
event_bce,demande,approvisionnement,5.66736111111111,1.25,8,4,1.0,demande|approvisionnement,44,ok,7.866666666666666,10.0,0.9495598382108018
event,demande,approvisionnement,5.66736111111111,1.25,8,4,1.0,demande|approvisionnement,44,ok,7.866666666666666,10.0,0.9495598382108018
event_bce,demande,approvisionnement,5.167361111111111,2.5,8,6,1.0,demande|approvisionnement,45,ok,7.8,10.0,0.9494515975202671
event,demande,approvisionnement,5.167361111111111,2.5,8,6,1.0,demande|approvisionnement,45,ok,7.8,10.0,0.9494515975202671
event_bce,demande,approvisionnement,5.000694444444444,2.5,8,4,1.0,demande|approvisionnement,46,ok,6.2,9.0,0.9494877293304741
event,demande,approvisionnement,5.000694444444444,2.5,8,4,1.0,demande|approvisionnement,46,ok,6.2,9.0,0.9494877293304741
event_bce,demande,approvisionnement,4.417361111111111,3.25,8,4,1.0,demande|approvisionnement,47,ok,7.733333333333333,10.0,0.9498454956025671
event,demande,approvisionnement,4.417361111111111,3.25,8,4,1.0,demande|approvisionnement,47,ok,7.733333333333333,10.0,0.9498454956025671
event_bce,demande,approvisionnement,5.667361111111111,1.6666666666666667,8,6,1.0,demande|approvisionnement,48,ok,8.0,11.0,0.9494033412887828
event,demande,approvisionnement,5.667361111111111,1.6666666666666667,8,6,1.0,demande|approvisionnement,48,ok,8.0,11.0,0.9494033412887828
event_bce,demande,approvisionnement,4.917361111111111,2.6,8,5,1.0,demande|approvisionnement,49,ok,8.266666666666667,11.0,0.9499880924029531
event,demande,approvisionnement,4.917361111111111,2.6,8,5,1.0,demande|approvisionnement,49,ok,8.266666666666667,11.0,0.9499880924029531
event_bce,demande,approvisionnement,6.66736111111111,2.1666666666666665,8,6,1.0,demande|approvisionnement,50,ok,8.0,10.0,0.9495718363463368
event,demande,approvisionnement,6.66736111111111,2.1666666666666665,8,6,1.0,demande|approvisionnement,50,ok,8.0,10.0,0.9495718363463368
event_bce,demande,approvisionnement,5.167361111111111,2.0,8,6,1.0,demande|approvisionnement,51,ok,8.0,10.0,0.9497749348495618
event,demande,approvisionnement,5.167361111111111,2.0,8,6,1.0,demande|approvisionnement,51,ok,8.0,10.0,0.9497749348495618
event_bce,demande,approvisionnement,4.417361111111111,4.666666666666667,8,3,1.0,demande|approvisionnement,52,ok,6.466666666666667,11.0,0.9500828010409273
event,demande,approvisionnement,4.417361111111111,4.666666666666667,8,3,1.0,demande|approvisionnement,52,ok,6.466666666666667,11.0,0.9500828010409273
event_bce,demande,approvisionnement,6.167361111111111,1.5,8,4,1.0,demande|approvisionnement,53,ok,8.266666666666667,11.0,0.9494756911344138
event,demande,approvisionnement,6.167361111111111,1.5,8,4,1.0,demande|approvisionnement,53,ok,8.266666666666667,11.0,0.9494756911344138
event_bce,demande,approvisionnement,4.667361111111111,1.5,8,6,1.0,demande|approvisionnement,54,ok,8.066666666666666,11.0,0.9496915045087803
event,demande,approvisionnement,4.667361111111111,1.5,8,6,1.0,demande|approvisionnement,54,ok,8.066666666666666,11.0,0.9496915045087803
event_bce,demande,approvisionnement,5.66736111111111,1.1666666666666667,8,6,1.0,demande|approvisionnement,55,ok,6.533333333333333,8.0,0.9496944052656323
event,demande,approvisionnement,5.66736111111111,1.1666666666666667,8,6,1.0,demande|approvisionnement,55,ok,6.533333333333333,8.0,0.9496944052656323
event_bce,demande,approvisionnement,5.167361111111111,2.25,8,4,1.0,demande|approvisionnement,56,ok,7.533333333333333,11.0,0.9497259947581606
event,demande,approvisionnement,5.167361111111111,2.25,8,4,1.0,demande|approvisionnement,56,ok,7.533333333333333,11.0,0.9497259947581606
event_bce,demande,approvisionnement,3.6673611111111115,2.8,8,5,1.0,demande|approvisionnement,57,ok,7.733333333333333,11.0,0.9490718705378391
event,demande,approvisionnement,3.6673611111111115,2.8,8,5,1.0,demande|approvisionnement,57,ok,7.733333333333333,11.0,0.9490718705378391
event_bce,demande,approvisionnement,4.667361111111111,1.4,8,5,1.0,demande|approvisionnement,58,ok,8.333333333333334,11.0,0.9497499404620148
event,demande,approvisionnement,4.667361111111111,1.4,8,5,1.0,demande|approvisionnement,58,ok,8.333333333333334,11.0,0.9497499404620148
